drugA	drugB	sAB	overlapAB	mean_spAB	median_spAB	min_spAB	max_spAB	zTDA	zTDB	zDTA	zDTB	sAD	sBD	overlapAD	overlapBD	mean_spAD	mean_spBD	median_spAD	median_spBD	min_spAD	min_spBD	max_spAD	max_spBD
DB00001	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB00006	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB00278	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB04898	DB00590	0.3652	0	0.5057	0.47	0.45	0.62	-1.0344	-0.1188	-1.1146	-1.993	0.3795	0.2221	0.0	1.0	0.4886	0.5591	0.48	0.55	0.14	0.0	1.23	1.46
DB04898	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB06695	DB01275	0.2367	0	0.55	0.55	0.54	0.56	-1.0344	1.151	-1.1146	-1.5701	0.3795	0.1151	0.0	1.0	0.4886	0.5698	0.48	0.56	0.14	0.0	1.23	1.39
DB06695	DB00820	0.62	0	0.62	0.62	0.62	0.62	-1.0344	0.8122	-1.1146	0.464	0.3795	0.5763	0.0	0.0	0.4886	0.6853	0.48	0.69	0.14	0.37	1.23	1.39
DB06695	DB00968	0.1067	0	0.43	0.43	0.39	0.47	-1.0344	0.1698	-1.1146	-1.9512	0.3795	0.117	0.0	1.0	0.4886	0.5622	0.48	0.55	0.14	0.0	1.23	1.33
DB06695	DB01018	0.1983	0	0.465	0.465	0.46	0.47	-1.0344	-0.3673	-1.1146	-2.8882	0.3795	0.1	0.0	1.0	0.4886	0.5195	0.48	0.51	0.14	0.0	1.23	1.28
DB06695	DB00657	1.12	0	1.12	1.12	1.12	1.12	-1.0344	3.8434	-1.1146	3.3878	0.3795	1.0142	0.0	0.0	0.4886	1.123	0.48	1.11	0.14	0.85	1.23	1.69
DB06695	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB06695	DB00325	0.42	0	0.42	0.42	0.42	0.42	-1.0344	-2.2973	-1.1146	-1.2926	0.3795	0.3421	0.0	0.0	0.4886	0.4508	0.48	0.45	0.14	0.19	1.23	1.2
DB06695	DB08932	0.2533	0	0.445	0.445	0.38	0.51	-1.0344	-0.3467	-1.1146	-3.9634	0.3795	0.1953	0.0	2.0	0.4886	0.5077	0.48	0.51	0.14	0.0	1.23	1.29
DB00393	DB01116	0.634	0	0.7717	0.775	0.58	0.95	-2.3273	0.8073	-3.6134	0.7369	0.109	0.6504	3.0	0.0	0.5451	0.7593	0.54	0.74	0.0	0.47	1.49	1.49
DB00393	DB00765	0.3255	0	0.4642	0.475	0.26	0.6	-2.3273	-1.657	-3.6134	-3.135	0.109	0.3535	3.0	1.0	0.5451	0.4631	0.54	0.46	0.0	0.0	1.49	1.26
DB00393	DB00657	1.0232	0	1.1592	1.17	0.99	1.29	-2.3273	3.8434	-3.6134	3.3878	0.109	1.0142	3.0	0.0	0.5451	1.123	0.54	1.11	0.0	0.85	1.49	1.69
DB00393	DB01626	0.4492	0	0.6754	0.68	0.48	0.86	-2.3273	1.652	-3.6134	1.0082	0.109	0.4711	3.0	0.0	0.5451	0.6617	0.54	0.65	0.0	0.36	1.49	1.42
DB00393	DB00325	0.3232	0	0.4583	0.465	0.3	0.57	-2.3273	-2.2973	-3.6134	-1.2926	0.109	0.3421	3.0	0.0	0.5451	0.4508	0.54	0.45	0.0	0.19	1.49	1.2
DB00393	DB08932	0.1764	0	0.5204	0.49	0.31	0.71	-2.3273	-0.3467	-3.6134	-3.9634	0.109	0.1953	3.0	2.0	0.5451	0.5077	0.54	0.51	0.0	0.0	1.49	1.29
DB00653	DB01116	0.5725	0	0.7783	0.815	0.58	0.88	-1.2958	0.8073	-2.0948	0.7369	0.1184	0.6504	2.0	0.0	0.5844	0.7593	0.58	0.74	0.0	0.47	1.48	1.49
DB00653	DB00765	0.3025	0	0.5083	0.52	0.31	0.61	-1.2958	-1.657	-2.0948	-3.135	0.1184	0.3535	2.0	1.0	0.5844	0.4631	0.58	0.46	0.0	0.0	1.48	1.26
DB00653	DB00657	0.9554	0	1.1583	1.19	0.98	1.29	-1.2958	3.8434	-2.0948	3.3878	0.1184	1.0142	2.0	0.0	0.5844	1.123	0.58	1.11	0.0	0.85	1.48	1.69
DB00653	DB01626	0.42	0	0.7133	0.75	0.52	0.78	-1.2958	1.652	-2.0948	1.0082	0.1184	0.4711	2.0	0.0	0.5844	0.6617	0.58	0.65	0.0	0.36	1.48	1.42
DB00653	DB00325	0.3025	0	0.505	0.54	0.33	0.57	-1.2958	-2.2973	-2.0948	-1.2926	0.1184	0.3421	2.0	0.0	0.5844	0.4508	0.58	0.45	0.0	0.19	1.48	1.2
DB00377	DB00765	0.42	0	0.42	0.42	0.42	0.42	-0.4155	-1.657	-0.5052	-3.135	0.3849	0.3535	0.0	1.0	0.4939	0.4631	0.49	0.46	0.18	0.0	1.06	1.26
DB00377	DB00657	0.83	0	0.83	0.83	0.83	0.83	-0.4155	3.8434	-0.5052	3.3878	0.3849	1.0142	0.0	0.0	0.4939	1.123	0.49	1.11	0.18	0.85	1.06	1.69
DB00377	DB01626	0.3417	0	0.415	0.415	0.36	0.47	-0.4155	1.652	-0.5052	1.0082	0.3849	0.4711	0.0	0.0	0.4939	0.6617	0.49	0.65	0.18	0.36	1.06	1.42
DB00377	DB00325	0.46	0	0.46	0.46	0.46	0.46	-0.4155	-2.2973	-0.5052	-1.2926	0.3849	0.3421	0.0	0.0	0.4939	0.4508	0.49	0.45	0.18	0.19	1.06	1.2
DB00377	DB08932	0.22	0	0.405	0.405	0.36	0.45	-0.4155	-0.3467	-0.5052	-3.9634	0.3849	0.1953	0.0	2.0	0.4939	0.5077	0.49	0.51	0.18	0.0	1.06	1.29
DB00728	DB01116	0.4342	0	0.8333	0.76	0.55	1.19	-0.2509	0.8073	1.5777	0.7369	0.0551	0.6504	0.0	0.0	0.7625	0.7593	0.69	0.74	0.18	0.47	1.69	1.49
DB00728	DB00765	0.2917	0	0.6867	0.58	0.42	1.06	-0.2509	-1.657	1.5777	-3.135	0.0551	0.3535	0.0	1.0	0.7625	0.4631	0.69	0.46	0.18	0.0	1.69	1.26
DB00728	DB00657	0.2117	1	0.72	0.83	0.0	1.33	-0.2509	3.8434	1.5777	3.3878	0.0551	1.0142	0.0	0.0	0.7625	1.123	0.69	1.11	0.18	0.85	1.69	1.69
DB00728	DB01626	0.2467	0	0.8267	0.83	0.36	1.29	-0.2509	1.652	1.5777	1.0082	0.0551	0.4711	0.0	0.0	0.7625	0.6617	0.69	0.65	0.18	0.36	1.69	1.42
DB00757	DB00765	0.42	0	0.42	0.42	0.42	0.42	-0.4155	-1.657	-0.5052	-3.135	0.3849	0.3535	0.0	1.0	0.4939	0.4631	0.49	0.46	0.18	0.0	1.06	1.26
DB00757	DB01626	0.3417	0	0.415	0.415	0.36	0.47	-0.4155	1.652	-0.5052	1.0082	0.3849	0.4711	0.0	0.0	0.4939	0.6617	0.49	0.65	0.18	0.36	1.06	1.42
